MDDS Sub_DT,SUB-DISTRICT NAME,MDDS DTC
0.0,HIMACHAL PRADESH,0.0
0.0,Chamba,23.0
83.0,Pangi,23.0
84.0,Chaurah,23.0
85.0,Saluni,23.0
86.0,Bhalai,23.0
87.0,Dalhousie,23.0
88.0,Bhattiyat,23.0
89.0,Sihunta,23.0
90.0,Chamba,23.0
91.0,Holi,23.0
92.0,Brahmaur,23.0
0.0,Kangra,24.0
93.0,Nurpur,24.0
94.0,Indora,24.0
95.0,Fatehpur,24.0
96.0,Jawali,24.0
97.0,Harchakian,24.0
98.0,Shahpur,24.0
99.0,Dharmsala,24.0
100.0,Kangra,24.0
101.0,Nagrota Bagwan,24.0
102.0,Baroh,24.0
103.0,Dera Gopipur,24.0
104.0,Jawalamukhi,24.0
105.0,Jaswan,24.0
106.0,Rakkar,24.0
107.0,Khundian,24.0
108.0,Thural,24.0
109.0,Dhira,24.0
110.0,Jaisinghpur,24.0
111.0,Palampur,24.0
112.0,Baijnath,24.0
113.0,Multhan,24.0
0.0,Lahul & Spiti,25.0
114.0,Udaipur,25.0
115.0,Lahul,25.0
116.0,Spiti,25.0
0.0,Kullu,26.0
117.0,Manali,26.0
118.0,Kullu,26.0
119.0,Sainj,26.0
120.0,Banjar,26.0
121.0,Ani,26.0
122.0,Nermand,26.0
0.0,Mandi,27.0
123.0,Padhar,27.0
124.0,Jogindarnagar,27.0
125.0,Lad Bharol,27.0
126.0,Sandhol,27.0
127.0,Dharmpur,27.0
128.0,Kotli,27.0
129.0,Sarkaghat,27.0
130.0,Bhadrota,27.0
131.0,Baldwara,27.0
132.0,Sundarnagar,27.0
133.0,Mandi,27.0
134.0,Aut,27.0
135.0,Bali Chowki,27.0
136.0,Thunag,27.0
137.0,Chachyot,27.0
138.0,Nihri,27.0
139.0,Karsog,27.0
0.0,Hamirpur,28.0
140.0,Tira Sujanpur,28.0
141.0,Nadaun,28.0
142.0,Galore,28.0
143.0,Hamirpur,28.0
144.0,Barsar,28.0
145.0,Dhatwal,28.0
146.0,Bhoranj,28.0
0.0,Una,29.0
147.0,Bharwain,29.0
148.0,Amb,29.0
149.0,Bangana,29.0
150.0,Una,29.0
151.0,Haroli,29.0
0.0,Bilaspur,30.0
152.0,Ghumarwin,30.0
153.0,Bharari,30.0
154.0,Jhanduta,30.0
155.0,Naina Devi,30.0
156.0,Bilaspur Sadar,30.0
157.0,Namhol,30.0
0.0,Solan,31.0
158.0,Arki,31.0
159.0,Darlaghat,31.0
160.0,Ramshahr,31.0
161.0,Nalagarh,31.0
162.0,Baddi,31.0
163.0,Krishangarh,31.0
164.0,Kasauli,31.0
165.0,Solan,31.0
166.0,Kandaghat,31.0
0.0,Sirmaur,32.0
167.0,Rajgarh,32.0
168.0,Nohra,32.0
169.0,Pachhad,32.0
170.0,Renuka,32.0
171.0,Dadahu,32.0
172.0,Nahan,32.0
173.0,Paonta Sahib,32.0
174.0,Kamrau,32.0
175.0,Shalai,32.0
176.0,Ronhat,32.0
0.0,Shimla,33.0
177.0,Rampur,33.0
178.0,Nankhari,33.0
179.0,Kumharsain,33.0
180.0,Seoni,33.0
181.0,Shimla   ( Rural ),33.0
182.0,Shimla (urban),33.0
183.0,Junga,33.0
184.0,Theog,33.0
185.0,Chaupal,33.0
186.0,Cheta,33.0
187.0,Nerua,33.0
188.0,Jubbal,33.0
189.0,Kotkhai,33.0
190.0,Tikar,33.0
191.0,Rohru,33.0
192.0,Chirgaon,33.0
193.0,Dodra Kwar,33.0
0.0,Kinnaur,34.0
194.0,Hangrang,34.0
195.0,Poo,34.0
196.0,Morang,34.0
197.0,Kalpa,34.0
198.0,Nichar,34.0
199.0,Sangla,34.0
0.0,PUNJAB,0.0
0.0,Gurdaspur,35.0
200.0,Dhar Kalan,35.0
201.0,Pathankot       ,35.0
202.0,Gurdaspur ,35.0
203.0,Batala ,35.0
204.0,Dera Baba Nanak  ,35.0
0.0,Kapurthala ,36.0
205.0,Bhulath,36.0
206.0,Kapurthala ,36.0
207.0,Sultanpur Lodhi ,36.0
208.0,Phagwara ,36.0
0.0,Jalandhar,37.0
209.0,Shahkot,37.0
210.0,Nakodar,37.0
211.0,Phillaur,37.0
212.0,Jalandhar - I,37.0
213.0,Jalandhar - II,37.0
0.0,Hoshiarpur,38.0
214.0,Dasua,38.0
215.0,Mukerian ,38.0
216.0,Hoshiarpur ,38.0
217.0,Garhshankar,38.0
0.0,Shahid Bhagat Singh Nagar ,39.0
218.0,Nawanshahr,39.0
219.0,Balachaur,39.0
0.0,Fatehgarh Sahib,40.0
220.0,Bassi Pathana,40.0
221.0,Fatehgarh Sahib,40.0
222.0,Amloh,40.0
223.0,Khamanon,40.0
0.0,Ludhiana,41.0
224.0,Samrala,41.0
225.0,Khanna,41.0
226.0,Payal,41.0
227.0,Ludhiana (East),41.0
228.0,Ludhiana (West),41.0
229.0,Raikot,41.0
230.0,Jagraon,41.0
0.0,Moga,42.0
231.0,Nihal Singhwala,42.0
232.0,Bagha Purana,42.0
233.0,Moga,42.0
0.0,Firozpur,43.0
234.0,Zira,43.0
235.0,Firozpur,43.0
236.0,Jalalabad ,43.0
237.0,Fazilka,43.0
238.0,Abohar ,43.0
0.0,Muktsar,44.0
239.0,Malout,44.0
240.0,Gidderbaha,44.0
241.0,Muktsar,44.0
0.0,Faridkot,45.0
242.0,Faridkot,45.0
243.0,Jaitu,45.0
0.0,Bathinda,46.0
244.0,Rampura Phul,46.0
245.0,Bathinda,46.0
246.0,Talwandi Sabo,46.0
0.0,Mansa,47.0
247.0,Sardulgarh,47.0
248.0,Budhlada,47.0
249.0,Mansa,47.0
0.0,Patiala,48.0
250.0,Samana,48.0
251.0,Patran,48.0
252.0,Nabha,48.0
253.0,Patiala,48.0
254.0,Rajpura,48.0
0.0,Amritsar ,49.0
255.0,Ajnala,49.0
256.0,Amritsar -I  ,49.0
257.0,Amritsar- II ,49.0
258.0,Baba Bakala ,49.0
0.0,Tarn Taran,50.0
259.0,Tarn Taran,50.0
260.0,Patti ,50.0
261.0,Khadur Sahib,50.0
0.0,Rupnagar,51.0
262.0,Anandpur Sahib,51.0
263.0,Nangal,51.0
264.0,Rup Nagar,51.0
265.0,Chamkaur Sahib,51.0
0.0,Sahibzada Ajit Singh Nagar,52.0
266.0,Kharar,52.0
267.0,SAS Nagar (Mohali),52.0
268.0,Dera Bassi,52.0
0.0,Sangrur,53.0
269.0,Malerkotla,53.0
270.0,Dhuri,53.0
271.0,Sangrur,53.0
272.0,Sunam,53.0
273.0,Lehra,53.0
274.0,Moonak,53.0
0.0,Barnala,54.0
275.0,Barnala,54.0
276.0,Tapa,54.0
0.0,HARYANA,0.0
0.0,Panchkula,69.0
356.0,Kalka,69.0
357.0,Panchkula,69.0
0.0,Ambala,70.0
358.0,Naraingarh,70.0
359.0,Ambala,70.0
360.0,Barara,70.0
0.0,Yamunanagar,71.0
361.0,Jagadhri,71.0
362.0,Bilaspur,71.0
363.0,Chhachhrauli,71.0
